Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Cow,Ayrshire,5,Male,720.0,Coughing,Loss of Appetite,Lethargy,Fever,4 days,1,1,0,0,1,1,1,0,1,39.3,82,Bovine Tuberculosis
Cow,Belted Galloway,4,Female,650.0,Coughing,Loss of Appetite,Lethargy,Fever,4 days,1,1,1,0,1,1,1,0,1,39.4,75,Bovine Tuberculosis
Horse,Thoroughbred,6,Male,550.0,Lameness,Loss of Appetite,Swollen Legs,Fever,5 days,1,0,0,1,1,1,1,1,1,39.5,78,Equine Influenza
Sheep,Rambouillet,5,Female,90.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,1,0,1,1,1,0,0,1,39.3,78,Scrapie
Horse,Pinto,6,Male,600.0,Lameness,Loss of Appetite,Swollen Legs,Fever,5 days,1,1,0,1,0,1,1,1,1,39.5,88,Equine Influenza
Goat,Saanen,8,Female,110.0,Vomiting,Diarrhea,Lethargy,Fever,6 days,1,1,1,0,1,1,0,0,1,39.8,85,Caprine Arthritis Encephalitis
Pig,Landrace,6,Female,130.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,1,0,1,1,0,1,1,0,39.2,110,Swine Influenza
Cow,Guernsey,5,Female,600.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,0,0,1,1,1,0,1,1,39.6,85,Bovine Tuberculosis
Horse,Thoroughbred,5,Female,550.0,Lameness,Swollen Legs,Loss of Appetite,Fever,6 days,1,1,1,1,0,0,1,1,1,39.5,100,Equine Influenza
Cow,Charolais,8,Male,700.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,1,0,0,1,1,1,0,1,39.2,75,Bovine Respiratory Disease
Goat,Kiko,4,Female,90.0,Vomiting,Diarrhea,Lethargy,Fever,5 days,1,0,1,1,0,1,1,0,1,39.6,85,Caprine Arthritis Encephalitis
Pig,Large White,3,Female,120.0,Coughing,Loss of Appetite,Lethargy,Fever,4 days,1,1,0,1,1,0,1,1,0,39.1,95,Swine Influenza
Cow,Simmental,7,Female,650.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,0,1,0,1,0,1,1,1,39.3,75,Bovine Tuberculosis
Sheep,Texel,5,Male,110.0,Coughing,Loss of Appetite,Lethargy,Fever,6 days,1,1,1,1,1,1,0,1,0,39.4,70,Scrapie
Cow,Angus,5,Female,650.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,1,1,1,1,1,1,0,1,39.3,75,Bovine Tuberculosis
Pig,Landrace,6,Male,140.0,Coughing,Loss of Appetite,Lethargy,Fever,6 days,1,1,0,0,1,1,1,1,1,39.5,90,Swine Influenza
Cow,Jersey,3,Female,600.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,0,1,1,1,0,0,1,1,39.4,95,Bovine Respiratory Disease
Sheep,Dorset,6,Male,120.0,Coughing,Loss of Appetite,Lethargy,Fever,7 days,1,1,1,0,1,1,1,1,0,39.5,85,Scrapie
Goat,Nubian,2,Female,80.0,Vomiting,Diarrhea,Lethargy,Fever,4 days,1,1,1,1,0,1,0,0,1,39.7,90,Caprine Arthritis Encephalitis
Pig,Tamworth,3,Male,160.0,Coughing,Loss of Appetite,Lethargy,Fever,6 days,1,1,1,1,1,0,1,0,1,39.5,105,Swine Influenza
Cow,Angus,4,Female,650.0,Coughing,Loss of Appetite,Lethargy,Fever,6 days,1,1,0,1,1,0,1,1,1,39.5,90,Bovine Tuberculosis
Goat,Alpine,3,Female,75.0,Vomiting,Diarrhea,Lethargy,Fever,4 days,1,1,1,1,1,1,1,1,1,39.7,95,Caprine Arthritis Encephalitis
Cow,Charolais,8,Female,750.0,Coughing,Loss of Appetite,Lethargy,Fever,6 days,1,1,0,1,1,1,1,0,1,39.3,80,Bovine Respiratory Disease
Cow,Guernsey,3,Male,580.0,Coughing,Loss of Appetite,Lethargy,Fever,4 days,1,1,1,1,0,1,1,0,1,39.4,85,Bovine Respiratory Disease
Sheep,Dorset,4,Male,125.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,1,0,1,1,0,0,1,1,39.3,80,Scrapie
Goat,Saanen,3,Female,75.0,Vomiting,Diarrhea,Lethargy,Fever,5 days,1,1,1,0,1,0,1,1,1,39.5,90,Caprine Arthritis Encephalitis
Cow,Ayrshire,3,Female,700.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,1,1,1,1,0,0,1,1,39.4,90,Bovine Respiratory Disease
Goat,Kiko,4,Female,70.0,Vomiting,Diarrhea,Lethargy,Fever,5 days,1,1,1,1,0,1,1,1,0,39.5,90,Caprine Arthritis Encephalitis
Pig,Chester White,3,Male,150.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,0,1,1,0,1,1,1,1,39.7,105,Swine Influenza
Cow,Simmental,4,Female,700.0,Coughing,Loss of Appetite,Lethargy,Fever,6 days,1,1,1,1,1,0,0,1,1,39.4,100,Bovine Respiratory Disease
Goat,Toggenburg,2,Female,70.0,Vomiting,Diarrhea,Lethargy,Fever,4 days,1,1,1,1,0,1,1,1,0,39.4,90,Caprine Arthritis Encephalitis
Pig,Tamworth,3,Male,130.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,1,1,1,0,1,0,0,1,39.6,105,Swine Influenza
Cow,Dexter,2,Male,500.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,1,1,1,0,1,0,0,1,39.4,95,Bovine Tuberculosis
Sheep,Cheviot,4,Female,120.0,Coughing,Loss of Appetite,Lethargy,Fever,6 days,1,1,1,1,0,1,1,0,1,39.4,85,Scrapie
Sheep,Dorset,5,Male,150.0,Coughing,Loss of Appetite,Lethargy,Fever,5 days,1,1,1,1,0,1,0,0,1,39.5,90,Scrapie
Horse,Thoroughbred,6,Female,500.0,Coughing,Labored Breathing,Nasal Discharge,Fever,10 days,1,0,0,1,1,0,0,1,0,39.8,85,Equine Influenza
